Name,5K,10K,15K,20K,HALF,25K,30K,35K,40K,FINISH
"Hehir, Sean (IRL)",0:15:51,0:31:36,0:47:20,1:03:05,1:06:35,1:19:03,1:35:24,1:52:02,2:09:19,2:17:20
"Barlow, Tracy (GBR)",0:18:07,0:36:15,0:54:29,1:12:45,1:16:42,1:30:46,1:48:57,2:07:15,2:25:29,2:33:20
"Martelletti, Paul (GBR)",0:15:51,0:31:47,0:48:13,1:04:53,1:08:29,1:21:15,1:37:47,1:54:07,2:10:22,2:17:26
"Muir, Tina (GBR)",0:18:16,0:37:07,0:56:00,1:14:48,1:18:53,1:33:15,1:51:42,2:10:22,2:29:05,2:37:35
"Frazer, Thomas (IRL)",0:15:51,0:31:37,0:47:20,1:03:20,1:06:54,1:19:41,1:36:23,1:53:34,2:11:29,2:19:17
"Munn, Hayley (GBR)",0:18:22,0:37:03,0:55:43,1:14:22,1:18:25,1:32:48,1:51:23,2:10:38,2:29:39,2:38:04
"Scott, Aaron (GBR)",0:16:00,0:32:16,0:48:50,1:05:27,1:09:02,1:21:40,1:38:15,1:54:53,2:11:46,2:19:18
"Bruinvels, Georgie (GBR)",0:17:53,0:36:10,0:54:42,1:13:25,1:17:32,1:32:10,1:51:20,2:10:43,2:29:57,2:38:13
"Way, Steven (GBR)",0:15:59,0:32:17,0:48:49,1:05:26,1:09:02,1:21:53,1:38:59,1:56:19,2:13:25,2:20:50
"Hilland, Rebecca (GBR)",0:18:26,0:37:19,0:56:18,1:15:18,1:19:29,1:34:06,1:53:13,2:12:20,2:31:22,2:39:45
"Payn, Thomas (GBR)",0:15:58,0:32:16,0:48:49,1:05:25,1:09:01,1:21:39,1:38:16,1:55:24,2:13:25,2:21:20
"Ponder, Rosamund (GBR)",0:18:37,0:37:18,0:56:03,1:14:57,1:19:00,1:33:37,1:52:46,2:12:09,2:31:25,2:39:49
"Kyereme, Kojo (GBR)",0:15:58,0:32:17,0:48:50,1:05:26,1:09:02,1:21:40,1:38:16,1:55:30,2:13:35,2:21:28
"Webster, Katy (GBR)",0:18:49,0:37:36,0:56:32,1:15:36,1:19:44,1:34:25,1:53:25,2:12:44,2:32:08,2:40:30
"Sanca, Ruben (USA)",0:15:56,0:32:14,0:48:46,1:05:23,1:08:59,1:21:37,1:38:13,1:55:07,2:12:50,2:21:28
"Pirie, Lesley (GBR)",0:18:29,0:37:15,0:56:15,1:15:16,1:19:26,1:34:10,1:53:27,2:12:54,2:32:33,2:41:04
"Kallenberg, Michael (GBR)",0:15:59,0:32:17,0:48:49,1:05:26,1:09:02,1:21:54,1:38:59,1:56:21,2:13:52,2:21:38
"Grima, Claire (GBR)",0:18:28,0:37:29,0:56:47,1:15:55,1:20:03,1:34:53,1:54:25,2:14:10,2:34:15,2:42:51
"O'Hanlon, Gary (IRL)",0:16:28,0:32:57,0:49:40,1:06:23,1:10:01,1:22:58,1:39:56,1:57:05,2:14:14,2:21:42
"Clements, Amy (GBR)",0:18:22,0:37:06,0:55:51,1:14:28,1:18:29,1:33:02,1:52:09,2:12:03,2:33:23,2:43:11
"Robinson, Stuart (GBR)",0:16:04,0:32:37,0:49:21,1:06:04,1:09:44,1:22:44,1:39:47,1:57:04,2:14:21,2:21:55
"Firth, Charlotte (GBR)",0:19:03,0:38:11,0:57:27,1:16:47,1:21:01,1:35:56,1:55:30,2:15:23,2:35:36,2:44:34
"Ryde, Carl (GBR)",0:16:52,0:33:35,0:50:25,1:07:27,1:11:03,1:24:04,1:41:07,1:58:07,2:15:29,2:23:04
"Edwards, Rosie (GBR)",0:18:45,0:37:46,0:56:49,1:16:01,1:20:08,1:34:59,1:54:43,2:15:02,2:35:56,2:45:04
"Bennett, Matthew (GBR)",0:16:20,0:32:57,0:49:41,1:06:25,1:10:08,1:23:26,1:40:47,1:58:10,2:15:43,2:23:13
"Boniface, Anna (GBR)",0:19:16,0:38:47,0:58:31,1:18:05,1:22:21,1:37:35,1:57:00,2:16:57,2:37:09,2:45:53
"Le Grice, Peter (GBR)",0:16:31,0:32:55,0:49:39,1:06:21,1:09:59,1:22:57,1:40:02,1:57:34,2:15:13,2:23:16
"Rankin, Gemma (GBR)",0:18:59,0:37:50,0:57:29,1:17:05,1:21:25,1:36:31,1:56:08,2:16:35,2:37:23,2:46:34
"Renault, Neil (GBR)",0:16:31,0:33:06,0:49:50,1:06:54,1:10:38,1:24:00,1:41:16,1:58:35,2:15:55,2:23:31
"Coates, Jo (GBR)",0:19:09,0:38:36,0:58:09,1:17:45,1:22:04,1:37:26,1:57:36,2:17:39,2:37:50,2:46:35
"Kelly, James (GBR)",0:16:29,0:33:07,0:50:13,1:07:15,1:11:02,1:24:14,1:41:18,1:58:34,2:16:00,2:23:48
"Graham, Laura (NIR)",0:18:25,0:37:09,0:55:55,1:14:50,1:19:02,1:34:11,1:54:07,2:15:21,2:37:57,2:48:03
"Gierjatowicz, Patryk (GBR)",0:16:41,0:33:31,0:50:27,1:07:33,1:11:18,1:24:35,1:41:50,1:59:12,2:16:40,2:24:00
"Nicholson, Rose (GBR)",0:19:02,0:38:30,0:58:12,1:17:53,1:22:11,1:37:34,1:57:36,2:18:08,2:39:05,2:48:16
"Poole, Jonathan (GBR)",0:16:30,0:33:09,0:50:14,1:07:17,1:11:03,1:24:16,1:41:34,1:58:55,2:16:29,2:24:09
"Lovig, Christy (CAN)",0:19:42,0:39:53,1:00:10,1:20:27,1:24:51,1:40:38,2:00:55,2:20:59,2:40:23,2:48:55
"McKenna, Jarlath (GBR)",0:16:33,0:33:04,0:49:46,1:07:11,1:10:52,1:24:04,1:41:13,1:58:35,2:16:19,2:24:12
"Fowler, Eleanor (GBR)",0:19:50,0:40:01,1:00:41,1:21:01,1:25:21,1:41:02,2:01:12,2:21:15,2:40:54,2:49:16
"Lowe, Gareth Edward (GBR)",0:16:16,0:32:55,0:49:40,1:06:29,1:10:14,1:23:33,1:40:57,1:58:37,2:16:25,2:24:13
"Ross, Fionnuala (GBR)",0:18:36,0:37:25,0:56:23,1:15:12,1:19:19,1:34:16,1:55:09,2:17:39,2:40:44,2:49:57
"Arrospide, Iraitz (ESP)",0:16:05,0:32:38,0:49:22,1:06:25,1:10:08,1:23:28,1:41:00,1:59:02,2:16:59,2:24:51
"Parry-Williams, Jessica (GBR)",0:19:15,0:38:50,0:58:44,1:18:51,1:23:18,1:38:54,1:59:25,2:20:19,2:41:18,2:50:33
"Dixon, Shaun (GBR)",0:15:59,0:32:16,0:48:49,1:05:26,1:09:02,1:22:00,1:39:38,1:58:02,2:16:43,2:25:04
"Oldroyd, Hannah (GBR)",0:20:48,0:41:19,1:01:38,1:21:55,1:26:23,1:42:12,2:02:30,2:22:58,2:43:18,2:52:03
"Jenkin, Mark (GBR)",0:16:54,0:34:06,0:51:24,1:08:43,1:12:24,1:25:29,1:42:30,1:59:54,2:17:34,2:25:10
"Stone, Serane (GBR)",0:19:36,0:39:36,1:00:04,1:20:27,1:24:52,1:40:40,2:01:22,2:22:29,2:43:29,2:52:31
"Shearer, Ben (GBR)",0:16:51,0:33:57,0:51:14,1:08:29,1:12:13,1:25:33,1:42:53,2:00:20,2:17:41,2:25:13
"Allen, Laura (GBR)",0:19:14,0:38:49,0:58:53,1:19:12,1:23:38,1:39:41,2:00:49,2:22:06,2:43:22,2:52:34
"Johnson, Grant (GBR)",0:16:52,0:33:59,0:51:15,1:08:29,1:12:14,1:25:30,1:42:52,2:00:22,2:17:45,2:25:16
"Dohren, Mandy (GBR)",0:19:52,0:39:59,1:00:24,1:20:31,1:24:53,1:40:39,2:01:15,2:21:55,2:43:21,2:52:44
"Greenleaf, Andy (GBR)",0:16:20,0:33:05,0:49:49,1:06:53,1:10:38,1:23:59,1:41:30,1:59:31,2:17:33,2:25:17
"Cumber, Sarah Louise (GBR)",0:19:27,0:38:55,0:58:37,1:18:40,1:23:02,1:38:43,1:59:26,2:20:57,2:42:56,2:52:47
"Morgan, Dave (GBR)",0:16:39,0:33:28,0:50:27,1:07:34,1:11:20,1:24:44,1:42:19,2:00:04,2:17:43,2:25:21
"Crowe, Emma (GBR)",0:19:16,0:38:52,0:58:46,1:18:53,1:23:20,1:38:59,2:00:04,2:21:05,2:43:47,2:52:53
"Greig, Kyle (GBR)",0:16:43,0:33:36,0:50:27,1:07:34,1:11:19,1:24:25,1:41:18,1:58:36,2:16:47,2:25:23
"Kenny, Victoria (GBR)",0:19:58,0:40:19,1:00:39,1:21:01,1:25:25,1:41:15,2:01:46,2:22:29,2:43:40,2:53:03
"Keal, Rob (GBR)",0:16:52,0:33:56,0:51:13,1:08:24,1:12:11,1:25:30,1:42:50,2:00:23,2:18:00,2:25:37
"Moore, Diane (GBR)",0:19:11,0:38:51,0:59:00,1:19:21,1:23:46,1:39:44,2:00:45,2:22:06,2:43:45,2:53:10
"Shatrov, Vladimir (AUS)",0:15:51,0:32:00,0:48:35,1:05:26,1:09:03,1:22:35,1:40:49,1:59:36,2:18:03,2:25:47
"Elms, Clare (GBR)",0:19:52,0:40:19,1:00:51,1:21:20,1:25:45,1:41:31,2:01:53,2:22:42,2:44:05,2:53:52
"Quinn, Iain (GBR)",0:16:50,0:33:57,0:51:06,1:08:16,1:12:04,1:25:27,1:42:49,2:00:21,2:18:08,2:25:49
"Rose, Charlotte (GBR)",0:20:25,0:41:14,1:02:04,1:22:40,1:27:10,1:43:04,2:03:29,2:24:10,2:44:54,2:53:52
"Bazeille, Sebastien (FRA)",0:16:51,0:33:58,0:51:14,1:08:26,1:12:12,1:25:30,1:42:52,2:00:22,2:18:01,2:25:58
"Webber, Wendy (GBR)",0:20:14,0:40:16,1:00:32,1:20:53,1:25:23,1:41:18,2:02:04,2:23:13,2:44:35,2:54:04
"Annable, Dale (GBR)",0:17:01,0:34:17,0:51:33,1:08:56,1:12:45,1:26:14,1:43:46,2:01:06,2:18:43,2:26:26
"Jones, Nerys (GBR)",0:20:16,0:40:31,1:00:56,1:21:19,1:25:50,1:41:47,2:02:42,2:23:45,2:44:53,2:54:10
"bentley, russell (GBR)",0:17:09,0:34:32,0:51:41,1:08:46,1:12:32,1:25:54,1:43:24,2:01:05,2:18:41,2:26:26
"Nelson, Joanne (GBR)",0:20:13,0:40:40,1:01:21,1:22:04,1:26:38,1:42:38,2:03:18,2:24:16,2:45:16,2:54:18
"Preece, Rowan Jack Atherstone (GBR)",0:17:18,0:34:40,0:52:13,1:09:42,1:13:31,1:26:59,1:44:21,2:01:45,2:19:00,2:26:27
"Towerton, Kate (GBR)",0:20:12,0:40:51,1:01:21,1:21:54,1:26:18,1:42:08,2:02:26,2:23:16,2:44:34,2:54:20
"Mcgrath, Tom (CAN)",0:17:04,0:34:38,0:52:12,1:09:41,1:13:30,1:26:57,1:44:21,2:01:51,2:19:13,2:26:51
"Mitchell, Naomi (GBR)",0:19:37,0:39:34,0:59:43,1:20:00,1:24:21,1:40:06,2:00:35,2:21:50,2:44:26,2:54:31
"Couldwell, Mark (GBR)",0:17:01,0:34:19,0:51:50,1:09:20,1:13:10,1:26:34,1:44:04,2:01:32,2:19:09,2:26:58
"Banks, Andrea (GBR)",0:20:15,0:40:40,1:01:17,1:21:57,1:26:27,1:42:34,2:03:16,2:24:24,2:45:37,2:54:46
